skey|gugun|rate_year|dong_cnt|house_cnt|tot_pop_cnt|m_pop_cnt|f_pop_cnt|pop_ratio|pop_density|instt_code|last_load_dttm
19561|부산광역시 사하구|2020-04|16|138813|322960|161595|161365|9.3|7732|6260000|2022-07-01 05:57:03
19562|부산광역시 금정구|2020-04|16|107101|241100|117535|123565|7|3694|6260000|2022-07-01 05:57:03
19563|부산광역시 강서구|2020-04|8|54725|136516|72206|64310|3.9|752|6260000|2022-07-01 05:57:03
19564|부산광역시 연제구|2020-04|12|91122|211136|101828|109308|6.1|17449|6260000|2022-07-01 05:57:03
19565|부산광역시 수영구|2020-04|10|82464|178722|84504|94218|5.2|17505|6260000|2022-07-01 05:57:03
19566|부산광역시 사상구|2020-04|12|96924|221480|112219|109261|6.4|6137|6260000|2022-07-01 05:57:03
19567|부산광역시 기장군|2020-04|5|71059|170313|84740|85573|4.9|780|6260000|2022-07-01 05:57:03
19568|부산광역시|2020-05|205|1511199|3455718|1696813|1758905|100|4488|6260000|2022-07-01 05:57:03
19569|부산광역시 중구|2020-05|9|23406|43835|21755|22080|1.3|15489|6260000|2022-07-01 05:57:03
19570|부산광역시 서구|2020-05|13|53072|109820|53529|56291|3.2|7856|6260000|2022-07-01 05:57:03
19571|부산광역시 동구|2020-05|12|45755|91996|45089|46907|2.7|9321|6260000|2022-07-01 05:57:03
19572|부산광역시 영도구|2020-05|11|54884|117176|57970|59206|3.4|8252|6260000|2022-07-01 05:57:03
19573|부산광역시 부산진구|2020-05|20|168789|360102|173984|186118|10.4|12137|6260000|2022-07-01 05:57:03
19574|부산광역시 동래구|2020-05|13|113823|273785|133313|140472|7.9|16463|6260000|2022-07-01 05:57:03
19575|부산광역시 남구|2020-05|17|117350|276728|135553|141175|8|10318|6260000|2022-07-01 05:57:03
19576|부산광역시 북구|2020-05|13|120663|291433|144186|147247|8.4|7402|6260000|2022-07-01 05:57:03
19577|부산광역시 해운대구|2020-05|18|169532|409307|197310|211997|11.8|7952|6260000|2022-07-01 05:57:03
19578|부산광역시 사하구|2020-05|16|138962|322439|161281|161158|9.3|7719|6260000|2022-07-01 05:57:03
19579|부산광역시 금정구|2020-05|16|107313|240623|117312|123311|7|3687|6260000|2022-07-01 05:57:03
19580|부산광역시 강서구|2020-05|8|54994|136814|72352|64462|4|754|6260000|2022-07-01 05:57:03
19581|부산광역시 연제구|2020-05|12|91287|210893|101643|109250|6.1|17429|6260000|2022-07-01 05:57:03
19582|부산광역시 수영구|2020-05|10|82670|178605|84422|94183|5.2|17493|6260000|2022-07-01 05:57:03
19583|부산광역시 사상구|2020-05|12|97038|220861|111907|108954|6.4|6120|6260000|2022-07-01 05:57:03
19584|부산광역시 기장군|2020-05|5|71661|171301|85207|86094|5|785|6260000|2022-07-01 05:57:03
19585|부산광역시|2020-06|205|1513956|3452910|1695099|1757811|100|4484|6260000|2022-07-01 05:57:03
19586|부산광역시 중구|2020-06|9|23456|43722|21702|22020|1.3|15449|6260000|2022-07-01 05:57:03
19587|부산광역시 서구|2020-06|13|53248|109885|53544|56341|3.2|7860|6260000|2022-07-01 05:57:03
19588|부산광역시 동구|2020-06|12|45873|91975|45080|46895|2.7|9319|6260000|2022-07-01 05:57:03
19589|부산광역시 영도구|2020-06|11|54866|116896|57795|59101|3.4|8232|6260000|2022-07-01 05:57:03
19590|부산광역시 부산진구|2020-06|20|169203|360176|173950|186226|10.4|12139|6260000|2022-07-01 05:57:03
19591|부산광역시 동래구|2020-06|13|114058|273713|133195|140518|7.9|16459|6260000|2022-07-01 05:57:03
19592|부산광역시 남구|2020-06|17|117429|276111|135244|140867|8|10295|6260000|2022-07-01 05:57:03
19593|부산광역시 북구|2020-06|13|120694|290808|143863|146945|8.4|7387|6260000|2022-07-01 05:57:03
19594|부산광역시 해운대구|2020-06|18|169825|408732|196993|211739|11.8|7941|6260000|2022-07-01 05:57:03
19595|부산광역시 사하구|2020-06|16|139108|321916|161035|160881|9.3|7707|6260000|2022-07-01 05:57:03
19596|부산광역시 금정구|2020-06|16|107358|240006|117016|122990|7|3677|6260000|2022-07-01 05:57:03
19396|부산광역시 남구|2011|19|113583|298776|148108|150668|8.33|11144|6260000|2022-07-01 05:57:03
19397|부산광역시 남구|2012|19|113397|294673|145731|148942|8.25|10991|6260000|2022-07-01 05:57:03
19398|부산광역시 남구|2013|17|114945|295195|145755|149440|8.28|11011|6260000|2022-07-01 05:57:03
19399|부산광역시 남구|2014|17|114412|290137|142993|147144|8.16|10822|6260000|2022-07-01 05:57:03
19400|부산광역시 남구|2015|17|114120|286940|141177|145763|8.1|10703|6260000|2022-07-01 05:57:03
19401|부산광역시 남구|2016|17|113791|283070|139047|144023|8|10558|6260000|2022-07-01 05:57:03
19402|부산광역시 남구|2017|17|113898|279309|137236|142073|7.9|10418|6260000|2022-07-01 05:57:03
19403|부산광역시 북구|2007|13|111384|326602|163189|163413|9.03|8527|6260000|2022-07-01 05:57:03
19404|부산광역시 북구|2008|13|110550|320328|159860|160468|8.91|8123|6260000|2022-07-01 05:57:03
19405|부산광역시 북구|2009|13|110502|315606|157379|158227|8.83|8002|6260000|2022-07-01 05:57:03
19406|부산광역시 북구|2010|13|112634|313553|156598|156955|8.71|7950|6260000|2022-07-01 05:57:03
