BASE_YEAR,BASE_MONTH,GU_DC,MV_TOT_CNT,MV_MAN_CNT,MV_WMAN_CNT
2018,2,사하구,19489.78,11011.57,8478.21
2018,2,서구,6364.09,3619.97,2744.13
2018,2,수영구,17171.91,9011.66,8160.24
2018,2,연제구,14683.53,7912.29,6771.24
2018,2,영도구,6140.94,3632.05,2508.89
2018,2,중구,11173.3,6220.05,4953.25
2018,2,해운대구,21229.74,11179.8,10049.94
2018,3,강서구,39229.71,26507.74,12721.97
2018,3,금정구,15148.45,8302.95,6845.51
2018,3,기장군,37486.84,22281.34,15205.5
2018,3,남구,13476.89,7558.83,5918.07
2018,3,동구,8512.76,4829.7,3683.06
2018,3,동래구,19629.68,10414.8,9214.88
2018,3,부산진구,22793.31,11868.59,10924.72
2018,3,북구,16789.72,8897.73,7891.99
2018,3,사상구,24158.69,14301.74,9856.96
2018,3,사하구,19666.25,11106.43,8559.82
2018,3,서구,6505.24,3689.05,2816.19
2018,3,수영구,16999.28,8868.25,8131.02
2018,3,연제구,15061.3,8048.57,7012.73
2018,3,영도구,6495.15,3903.33,2591.82
2018,3,중구,11034.72,6181.51,4853.21
2018,3,해운대구,20861.83,10937.41,9924.42
2018,4,강서구,40076.33,26805.04,13271.29
2018,4,금정구,15196.48,8335.39,6861.09
2018,4,기장군,38908.44,22953.81,15954.63
2018,4,남구,13641.4,7636.61,6004.8
2018,4,동구,8488.25,4766.38,3721.86
2018,4,동래구,19247.74,10255.47,8992.27
2018,4,부산진구,22376.92,11666.58,10710.34
2018,4,북구,16733.84,8822.07,7911.77
2018,4,사상구,24525.67,14472.53,10053.14
2018,4,사하구,19290.51,10902.18,8388.33
2018,4,서구,6758.99,3828.49,2930.49
2018,4,수영구,17188,8948.82,8239.17
2018,4,연제구,15163.58,8102.36,7061.22
2018,4,영도구,6627.1,3997.01,2630.09
2018,4,중구,10794.78,6018.06,4776.72
2018,4,해운대구,20898.52,10948.66,9949.86
2018,5,강서구,38306.22,25779.59,12526.63
2018,5,금정구,15293.89,8362.59,6931.29
2018,5,기장군,40038.24,23387.94,16650.29
2018,5,남구,13777.38,7660.49,6116.89
2018,5,동구,8614.27,4796.99,3817.28
2018,5,동래구,18874.14,10048.18,8825.96
2018,5,부산진구,22406.57,11610.13,10796.44
2018,5,북구,16703.19,8807.47,7895.72
2018,5,사상구,23207.19,13752.08,9455.1
2018,5,사하구,19251.64,10852.71,8398.93
2018,5,서구,6912.75,3897.41,3015.34
2018,5,수영구,16706.24,8697.75,8008.49
2018,5,연제구,14942.77,7977.36,6965.41
2018,5,영도구,6829.29,4087.37,2741.92
2018,5,중구,11142.57,6127.99,5014.58
2018,5,해운대구,21414.45,11198.14,10216.31
2018,6,강서구,38808.99,26216.59,12592.4
2018,6,금정구,15339.74,8415.52,6924.23
2018,6,기장군,38758.19,22847.21,15910.98
2018,6,남구,14139.51,7892,6247.52
2018,6,동구,8604.06,4838.89,3765.17
2018,6,동래구,20340.12,10800.51,9539.6
2018,6,부산진구,22071.49,11516.51,10554.98
2018,6,북구,17085.08,9027.48,8057.6
2018,6,사상구,24301.42,14414.62,9886.79
2018,6,사하구,19663.53,11076.2,8587.33
2018,6,서구,6905.66,3903.38,3002.28
2018,6,수영구,17425.17,9131.14,8294.03
2018,6,연제구,14812,7941.2,6870.79
2018,6,영도구,6766.1,4047.35,2718.75
2018,6,중구,10678.14,5920.23,4757.91
2018,6,해운대구,22467.6,11848.52,10619.08
2018,7,강서구,39367.85,26708.61,12659.24
2018,7,금정구,14819.15,8152.06,6667.1
2018,7,기장군,38814.01,22968.9,15845.11
2018,7,남구,13930.16,7798.21,6131.95
2018,7,동구,8547.22,4807.04,3740.18
2018,7,동래구,19442.46,10328.34,9114.12
2018,7,부산진구,22411.6,11729.7,10681.9
2018,7,북구,17655.73,9384.35,8271.38
2018,7,사상구,24070.93,14372.68,9698.25
2018,7,사하구,19774.44,11148.86,8625.58
2018,7,서구,7104.66,4027.05,3077.61
2018,7,수영구,17620.8,9241.95,8378.86
2018,7,연제구,14527.6,7824.2,6703.4
2018,7,영도구,6892.19,4102.38,2789.81
2018,7,중구,10755.63,5951.92,4803.71
2018,7,해운대구,22909.95,12096.11,10813.83
2018,8,강서구,39746.14,26971.58,12774.55
2018,8,금정구,14592.56,8085.71,6506.84
2018,8,기장군,40931.23,24120.58,16810.65
2018,8,남구,13846.32,7833.09,6013.24
2018,8,동구,8763.84,4978.48,3785.36
2018,8,동래구,19250.73,10323.14,8927.59
2018,8,부산진구,22885.55,12100.63,10784.92
2018,8,북구,17224.12,9299.07,7925.06
2018,8,사상구,24127.99,14513.93,9614.06
2018,8,사하구,19407.23,11067.77,8339.45
2018,8,서구,7224.31,4107.62,3116.69
2018,8,수영구,17997.14,9513.51,8483.63
2018,8,연제구,14202.53,7756.45,6446.09
2018,8,영도구,6958.08,4150.59,2807.49
2018,8,중구,12118.15,6743,5375.15
2018,8,해운대구,23722.41,12604.14,11118.27
2018,9,강서구,39451.42,26574.74,12876.68
2018,9,금정구,15688.95,8682.01,7006.94
2018,9,기장군,41071.1,24094.35,16976.75
2018,9,남구,13859.89,7861.99,5997.9
2018,9,동구,8501.72,4853.06,3648.66
2018,9,동래구,19751.52,10621.64,9129.88
2018,9,부산진구,22754.69,12121.12,10633.57
2018,9,북구,17652.08,9567.72,8084.36
2018,9,사상구,24331.28,14505.53,9825.75
2018,9,사하구,19325.05,11013.31,8311.74
2018,9,서구,6955.03,3967.82,2987.22
2018,9,수영구,17284.13,9155.7,8128.42
2018,9,연제구,14210.24,7744.3,6465.94
2018,9,영도구,6787.15,4064.72,2722.43
2018,9,중구,12084.62,6728.46,5356.16
2018,9,해운대구,22231.6,11873.27,10358.33
2018,10,강서구,42648.92,29116.84,13532.07
2018,10,금정구,15822.92,8710.16,7112.76
2018,10,기장군,40338.31,24016.81,16321.5
2018,10,남구,14008.65,7915.39,6093.26
2018,10,동구,9029.08,5120.39,3908.69
2018,10,동래구,19553.02,10424.5,9128.52
2018,10,부산진구,22378.58,11823.86,10554.72
2018,10,북구,17658.13,9472.33,8185.8
2018,10,사상구,24694.13,14784.5,9909.63
2018,10,사하구,19685.84,11202.82,8483.03
2018,10,서구,7104.77,4055.96,3048.81
2018,10,수영구,16641.72,8765.08,7876.64
2018,10,연제구,14535.4,7881.26,6654.14
2018,10,영도구,7001.95,4210.5,2791.45
2018,10,중구,12771.27,7137.08,5634.19
2018,10,해운대구,22013.24,11684.97,10328.28
2018,11,강서구,42316.77,29090.2,13226.57
2018,11,금정구,15611.16,8616.52,6994.63
2018,11,기장군,39657.28,23740.98,15916.3
2018,11,남구,14788.15,8269.87,6518.28
2018,11,동구,10175.23,5768.35,4406.88
2018,11,동래구,19576.09,10447.16,9128.93
2018,11,부산진구,22071.19,11686.57,10384.62
2018,11,북구,17598.98,9454.28,8144.69
2018,11,사상구,24552.49,14717.25,9835.24
2018,11,사하구,19654.6,11198.83,8455.77
2018,11,서구,7022.98,4031,2991.98
2018,11,수영구,17672.08,9272.48,8399.6
2018,11,연제구,14839.4,8047.26,6792.14
2018,11,영도구,6929.57,4187.53,2742.04
2018,11,중구,12775.32,7177.76,5597.57
2018,11,해운대구,21305.01,11384.9,9920.11
2018,12,강서구,38945.39,26702.08,12243.31
2018,12,금정구,12607.2,7090.39,5516.81
2018,12,기장군,35521.79,21196.03,14325.76
2018,12,남구,14597.87,8173.83,6424.04
2018,12,동구,9604.34,5433.52,4170.82
2018,12,동래구,18243.81,9855.31,8388.5
2018,12,부산진구,21355.12,11297.52,10057.6
2018,12,북구,14833.42,8078.52,6754.9
