"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","비상시설위치","시설구분명","시설명건물명","해제일자",
"408","민방위대피시설","11_46_02_P","3300000","3300000-S199800006","19981205","","01","영업/정상","18","사용중","","","","","","3461","","부산광역시 동래구 사직동 981번지 100호","부산광역시 동래구 쇠미로 37 (사직동)","607766","삼정그린코아","20220426155015","U","2022-04-28 02:40:00.0","","386837.88103427","190686.323148828","부산광역시 동래구 사직동 981번지 100호","공공시설","삼정그린코아","",
"409","민방위대피시설","11_46_02_P","3300000","3300000-S198600010","19861205","","01","영업/정상","18","사용중","","","","","","710","","부산광역시 동래구 사직동 620번지 1호","부산광역시 동래구 쇠미로 91 (사직동)","607819","동일아파트","20220426154742","U","2022-04-28 02:40:00.0","","387181.580145978","191081.749143669","부산광역시 동래구 사직동 620번지 1호","공공시설","동일아파트","",
"410","민방위대피시설","11_46_02_P","3300000","3300000-S198500019","19851205","","01","영업/정상","18","사용중","","","","","","966","","부산광역시 동래구 온천동 1222번지 11호","부산광역시 동래구 사직북로48번길 194 (온천동, 대곡빌라)","47848","대곡그린빌라","20201217140913","U","2020-12-19 02:40:00.0","","387976.643468113","191656.563813168","부산광역시 동래구 온천동 1222번지 11호","공공시설","대곡그린빌라","",
"411","민방위대피시설","11_46_02_P","3300000","3300000-S200400005","19911118","","01","영업/정상","18","사용중","","","","","","330","","부산광역시 동래구 사직동 631번지 1호","부산광역시 동래구 쇠미로 97 (사직동)","607819","유림하이츠1차","20220426155438","U","2022-04-28 02:40:00.0","","387285.040698729","191106.71102472","부산광역시 동래구 사직동 631번지 1호","공공시설","유림하이츠1차","",
"412","민방위대피시설","11_46_02_P","3300000","3300000-S200400006","19921118","","01","영업/정상","18","사용중","","","","","","396","","부산광역시 동래구 사직동 631번지 1호","부산광역시 동래구 쇠미로 97 (사직동, 유림하이츠)","47871","유림하이츠2차","20220426155512","U","2022-04-28 02:40:00.0","","387285.040698729","191106.71102472","부산광역시 동래구 사직동 631번지 1호","공공시설","유림하이츠2차","",
"413","민방위대피시설","11_46_02_P","3300000","3300000-S198000010","19801204","","01","영업/정상","18","사용중","","","","","","66","","부산광역시 동래구 사직동 123번지 23호","부산광역시 동래구 아시아드대로154번길 79 (사직동, 사직제3동주민센터)","47841","사직3동 행정복지센터","20220217104417","U","2022-02-19 02:40:00.0","","388397.783032298","190875.167179974","부산광역시 동래구 사직동 123번지 23호","공공시설","사직3동 행정복지센터","",
"414","민방위대피시설","11_46_02_P","3300000","3300000-S198400009","19841205","","01","영업/정상","18","사용중","","","","","","495","","부산광역시 동래구 사직동 630번지","부산광역시 동래구 쇠미로 95 (로얄맨션3차)","47871","로얄3차아파트","20220426154843","U","2022-04-28 02:40:00.0","","387247.586620533","191166.277926594","부산광역시 동래구 사직동 630번지","공공시설","로얄3차아파트","",
"415","민방위대피시설","11_46_02_P","3300000","3300000-S199600013","19961205","","01","영업/정상","18","사용중","","","","","","621","","부산광역시 동래구 온천동 435번지 1호","부산광역시 동래구 금강로 69 (온천동, 온천프라자)","47706","온천프라자아파트","20201217132119","U","2020-12-19 02:40:00.0","","389072.954085227","192669.658512569","부산광역시 동래구 온천동 435번지 1호","공공시설","온천프라자아파트","",
"416","민방위대피시설","11_46_02_P","3300000","3300000-S199900007","19991205","","01","영업/정상","18","사용중","","","","","","7379","","부산광역시 동래구 온천동 456번지 29호","부산광역시 동래구 온천장로 20 (온천동, 신화타워아파트)","47714","신화타워아파트","20201217132438","U","2020-12-19 02:40:00.0","","389289.767473942","192509.994182307","부산광역시 동래구 온천동 456번지 29호","공공시설","신화타워아파트","",
"417","민방위대피시설","11_46_02_P","3300000","3300000-S201500001","20150615","","01","영업/정상","18","사용중","","","","","","253.3","","부산광역시 동래구 사직동 29번지 8호","부산광역시 동래구 사직북로63번길 22 (사직제2동주민센터, 치안센터)","47861","사직2동 행정복지센터","20220426155610","U","2022-04-28 02:40:00.0","","387297.718764","190828.550938","부산광역시 동래구 사직동 29번지 8호","공공시설","사직2동 행정복지센터","",
"418","민방위대피시설","11_46_02_P","3300000","3300000-S201500003","20150615","","01","영업/정상","18","사용중","","","","","","1376","","부산광역시 동래구 사직동 1020번지","부산광역시 동래구 쇠미로40번길 55 (사직동, 사직2차쌍용예가)","47862","사직2차쌍용예가아파트","20220426155719","U","2022-04-28 02:40:00.0","","387074.470542494","190756.181155533","부산광역시 동래구 사직동 1020번지","공공시설","사직2차쌍용예가아파트","",
"419","민방위대피시설","11_46_02_P","3300000","3300000-S199200002","19921204","","01","영업/정상","18","사용중","","","","","","327","","부산광역시 동래구 복천동 295번지 5호","부산광역시 동래구 충렬대로237번길 66 (복천동, 동림빌딩)","47810","동림빌딩","20200914111757","U","2020-09-16 02:40:00.0","","389778.892817076","191448.79071106","부산광역시 동래구 복천동 295번지 5호","공공시설","동림빌딩","",
"420","민방위대피시설","11_46_02_P","3300000","3300000-S199300002","19931204","","01","영업/정상","18","사용중","","","","","","145","","부산광역시 동래구 복천동 201번지","부산광역시 동래구 동래로 141 (복천동, 호산나빌라)","47802","호산나빌라","20201217104759","U","2020-12-19 02:40:00.0","","389956.90152228","191519.25140557","부산광역시 동래구 복천동 201번지","공공시설","호산나빌라","",
"421","민방위대피시설","11_46_02_P","3300000","3300000-S199700007","19971204","","01","영업/정상","18","사용중","","","","","","2165","","부산광역시 동래구 명륜동 510번지 6호","부산광역시 동래구 충렬대로 190 (명륜동)","47815","한화생명사옥","20201217105501","U","2020-12-19 02:40:00.0","","389407.519805738","191293.573375659","부산광역시 동래구 명륜동 510번지 6호","공공시설","한화생명사옥","",
"422","민방위대피시설","11_46_02_P","3300000","3300000-S198800005","20220630","","01","영업/정상","18","사용중","","","","","","973","","부산광역시 동래구 사직동 23번지 8호","부산광역시 동래구 사직북로34번길 59 (사직동, 사직동교회)","47857","사직동교회","20220701135436","U","2022-07-03 02:40:00.0","","387755.590792161","191014.313036817","부산광역시 동래구 사직동 23번지 8호","공공시설","사직동교회","",
"423","민방위대피시설","11_46_02_P","3300000","3300000-S199700004","19971204","","01","영업/정상","18","사용중","","","","","","198","","부산광역시 동래구 복천동 564번지","부산광역시 동래구 복천로 1 (복천동, 복산동주민센터)","47748","복산동 행정복지센터","20201217104910","U","2020-12-19 02:40:00.0","","389899.547983658","191612.460576987","부산광역시 동래구 복천동 564번지","공공시설","복산동 행정복지센터","",
