"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"11","노래연습장업","03_09_01_P","3250000","CDFF3242052002000018","20020724","","03","폐업","03","폐업","20090507","","","","245-0570","","600806","부산광역시 중구 부평동2가 22-2번지","부산광역시 중구 중구로29번길 30  (부평동2가)","","영","20090507102021","I","2018-08-31 23:59:59.0","","384692.628895872","179818.013828601","노래연습장업","유통관련업","5","","","79.3","2","","근린생활시설","","","5","","N","N","N","N","N","N","","","","","","","","","","","","",
"12","노래연습장업","03_09_01_P","3250000","CDFF3242052002000019","20020308","","03","폐업","03","폐업","20070814","","","","247-0285","","600060","부산광역시 중구 신창동1가 32-3번지","부산광역시 중구 중구로44번길 19-1  (신창동1가)","","스타게이트","20070814094200","I","2018-08-31 23:59:59.0","","385023.247088987","179977.682453647","노래연습장업","유통관련업","3","","","221.3","3","","","","","10","4","N","N","N","Y","N","N","","","","","","","","","","","","",
"13","노래연습장업","03_09_01_P","3250000","CDFF3242052002000032","20020503","","03","폐업","03","폐업","20060605","","","","246-1666","","600807","부산광역시 중구 부평동2가 36-6번지","부산광역시 중구 광복로12번길 10-1  (부평동2가)","","아이엠","20060605174635","I","2018-08-31 23:59:59.0","","384682.775272677","179610.676841972","노래연습장업","유통관련업","5","","","159.57","2","","근린생활시설","1.25","41","8","8","Y","Y","Y","Y","Y","Y","","","","","","","","","","","","",
"14","노래연습장업","03_09_01_P","3250000","CDFF3242052002000033","20020401","","03","폐업","03","폐업","20170303","","","","255-8855","","","부산광역시 중구 중앙동2가 54-3번지","부산광역시 중구 대청로138번길 16 (중앙동2가)","48956","축제노래연습장","20170306133513","I","2018-08-31 23:59:59.0","","385479.898723893","179950.083710722","노래연습장업","유통관련업","5","","","124.13","2","","근린생활시설","1.3","42","6","2","Y","Y","Y","Y","Y","Y","","","","","","","","","","","","",
"15","노래연습장업","03_09_01_P","3250000","CDFF3242052002000035","20020601","","03","폐업","03","폐업","20101227","","","","242-7339","","","부산광역시 중구 남포동6가 26-2번지 지상2층","부산광역시 중구 자갈치로 20-2  (남포동6가,지상2층)","","낭군","20101229135407","I","2018-08-31 23:59:59.0","","384730.885257385","179350.883854431","노래연습장업","유통관련업","6","","","156.74","2","","근린생활시설","1.5","64","7","","Y","Y","Y","","Y","Y","","","","","","","","","","","","",
"16","노래연습장업","03_09_01_P","3250000","CDFF3242051999000023","19991117","","03","폐업","03","폐업","20160627","","","","246-9902","","","부산광역시 중구 부평동1가 38-1번지","부산광역시 중구 광복로 16-2 (부평동1가)","48980","갈채노래연습장","20160627153607","I","2018-08-31 23:59:59.0","","384746.138151402","179679.395458535","노래연습장업","유통관련업","4","","","134.88","","1","근린생활시설","","","6","","N","N","N","","N","N","","","","","","","","","","","","",
"17","노래연습장업","03_09_01_P","3250000","CDFF3242051999000024","19990701","","03","폐업","03","폐업","20210825","","","","248-8118","","","부산광역시 중구 창선동2가 46-3","부산광역시 중구 광복로 34-1 (창선동2가)","48953","보이스노래연습장","20210825150209","U","2021-08-27 02:40:00.0","","384917.403182981","179672.740341488","노래연습장업","유통관련업","","","","145.2","2","","","","","11","4","N","N","N","Y","N","N","","","","","","","","","","","","",
"18","노래연습장업","03_09_01_P","3250000","CDFF3242051999000025","19991027","","03","폐업","03","폐업","20081223","","","","465-5510","","600814","부산광역시 중구 중앙동4가 88-3번지","부산광역시 중구 충장대로5번길 10  (중앙동4가)","","엑스포","20081223105125","I","2018-08-31 23:59:59.0","","385663.909533778","180458.418604522","노래연습장업","유통관련업","","","","39.6","","","근린생활시설","","","4","1","N","N","N","Y","N","N","","","","","","","","","","","","",
"19","노래연습장업","03_09_01_P","3250000","CDFF3242052002000040","20020306","","03","폐업","03","폐업","20020809","","","","254-6233","","600092","부산광역시 중구 대청동2가 25-2번지","부산광역시 중구 광복중앙로 34  (대청동2가)","","인터넷","20080814131944","I","2018-08-31 23:59:59.0","","385127.995080685","180033.573037961","노래연습장업","유통관련업","10","","","319.37","5","","근린생활시설","2.6","47","10","","N","N","N","N","Y","N","","","","","","","","","","","","",
"20","노래연습장업","03_09_01_P","3250000","CDFF3242052003000002","20030111","","03","폐업","03","폐업","20050804","","","","469-2182","","600092","부산광역시 중구 대청동2가 17-1번지","부산광역시 중구 대청로 97-2  (대청동2가)","","멜라니","20050804131753","I","2018-08-31 23:59:59.0","","385086.045709807","180104.678561261","노래연습장업","유통관련업","5","","","118.5","3","","근린생활시설","","","7","6","N","N","N","Y","N","N","","","","","","","","","","","","",
"21","노래연습장업","03_09_01_P","3250000","CDFF3242052003000003","20030114","","03","폐업","03","폐업","20080707","","","","469-7760","","600025","부산광역시 중구 동광동5가 12-41번지","부산광역시 중구 중구로 141  (동광동5가)","","궁전","20080707154604","I","2018-08-31 23:59:59.0","","385409.244922561","180680.757710398","노래연습장업","유통관련업","4","","","111.39","2","","근린생활시설","1.9","39","4","1","N","N","N","Y","Y","N","","","","","","","","","","","","",
"22","노래연습장업","03_09_01_P","3250000","CDFF3242052000000001","20001130","","03","폐업","03","폐업","20060828","","","","469-7916,442-6451","","600811","부산광역시 중구 영주동 26-1번지","부산광역시 중구 대영로 239  (영주동)","","만남","20060829103948","I","2018-08-31 23:59:59.0","","385632.365526707","181146.093577037","노래연습장업","유통관련업","","","","95.4","3","","근린생활시설","","","5","","N","N","N","N","N","N","","","","","","","","","","","","",
"23","노래연습장업","03_09_01_P","3250000","CDFF3242052000000003","20000608","","03","폐업","03","폐업","20080102","","","","245-0012","","600045","부산광역시 중구 남포동5가 20-1번지","부산광역시 중구 비프광장로 30-1  (남포동5가)","","파라오","20080102170100","I","2018-08-31 23:59:59.0","","384896.263260894","179616.242546962","노래연습장업","유통관련업","","","","118","3","","근린생활시설","","","9","6","N","N","N","Y","N","N","","","","","","","","","","","","",
"24","노래연습장업","03_09_01_P","3250000","CDFF3242052000000004","20000215","","03","폐업","03","폐업","20090526","","","","253-7047","","600045","부산광역시 중구 남포동5가 33번지","부산광역시 중구 비프광장로 40  (남포동5가)","","데몰리션","20090526104626","I","2018-08-31 23:59:59.0","","384933.060113454","179567.538943818","노래연습장업","유통관련업","","","","211.5","","","근린생활시설","","","11","8","N","N","N","Y","Y","N","","","","","","","","","","","","",
"25","노래연습장업","03_09_01_P","3250000","CDFF3242052000000005","20000608","","03","폐업","03","폐업","20120614","","","","254-2520","","","부산광역시 중구 남포동5가 3-7번지","부산광역시 중구 구덕로 50-1 (남포동5가)","600045","스마일","20120614155239","I","2018-08-31 23:59:59.0","","385054.158952429","179599.804226579","노래연습장업","유통관련업","","","","152.5","","","","","","11","9","N","N","N","Y","N","N","","","","","","","","","","","","",
"26","노래연습장업","03_09_01_P","3250000","CDFF3242052000000006","20000218","","03","폐업","03","폐업","20020924","","","","245-8168,248-8654","","600046","부산광역시 중구 남포동6가 101-1번지","부산광역시 중구 구덕로84번길 9  (남포동6가)","","퀸스타","20030127152036","I","2018-08-31 23:59:59.0","","384695.204041145","179540.662484415","노래연습장업","유통관련업","","","","122.3","","","","","","10","3","N","N","N","N","N","N","","","","","","","","","","","","",
"27","노래연습장업","03_09_01_P","3250000","CDFF3242052000000007","20001130","","03","폐업","03","폐업","20081215","","","","","","600042","부산광역시 중구 남포동2가 22-1번지","부산광역시 중구 구덕로 40  (남포동2가)","","문화2","20081215100535","I","2018-08-31 23:59:59.0","","385177.758639599","179602.537753132","노래연습장업","유통관련업","","","","139.93","3","","","","","12","9","N","N","N","Y","Y","N","","","","","","","","","","","","",
"28","노래연습장업","03_09_01_P","3250000","CDFF3242052000000009","20000628","","03","폐업","03","폐업","20050131","","","","245-2270","","600060","부산광역시 중구 신창동1가 2-1번지","부산광역시 중구 광복중앙로 31  (신창동1가)","","루이암스트롱","20050131154613","I","2018-08-31 23:59:59.0","","385077.985604846","179999.046652795","노래연습장업","유통관련업","","","","99","3","","근린생활시설","","","4","","N","N","N","N","N","N","","","","","","","","","","","","",
"29","노래연습장업","03_09_01_P","3250000","CDFF3242052000000010","20000628","","03","폐업","03","폐업","20150617","","","","256-6767","","","부산광역시 중구 부평동4가 12-1번지","부산광역시 중구 보수대로44번길 19 (부평동4가)","600074","K(케이)노래연습장","20150617151347","I","2018-08-31 23:59:59.0","","384451.65419105","179980.034088152","노래연습장업","유통관련업","6","","","64.09","","1","근린생활시설","","","3","","N","N","N","","N","N","","","","","","","","","","","","일반상업지역",
