"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"814","일반게임제공업","03_05_06_P","3300000","CDFF2241012005000016","20051025","","03","폐업","03","폐업","20070313","","","","","","607815","부산광역시 동래구 사직동 92-36번지","부산광역시 동래구 사직북로 3  (사직동)","","장보고게임랜드","20070313160939","I","2018-08-31 23:59:59.0","","387606.323151093","190495.275732428","게임제공업","유통관련업","","기타","","192.24","8","1","근린생활시설","","","","","","","","","","","","","","","","","","","","","","준주거지역",
"815","일반게임제공업","03_05_06_P","3300000","CDFF2241012005000023","20051226","","03","폐업","03","폐업","20071128","","","","","","607824","부산광역시 동래구 수안동 325-4번지","부산광역시 동래구 명륜로98번길 78  (수안동)","","동원청개구리게임랜드","20071127170037","I","2018-08-31 23:59:59.0","","390038.68419681","191142.980733675","게임제공업","유통관련업","5","유흥업소밀집지역","","191.4","4","1","근린생활시설","","","","","","","","","","","","","","","","","","","","","","일반상업지역",
"816","일반게임제공업","03_05_06_P","3300000","CDFF2241012005000024","20051229","","03","폐업","03","폐업","20070517","","","","","","607815","부산광역시 동래구 사직동 91-8번지","부산광역시 동래구 사직북로 7  (사직동)","","사직게임랜드","20070517173039","I","2018-08-31 23:59:59.0","","387595.102722326","190535.936802036","게임제공업","유통관련업","9","유흥업소밀집지역","","233.45","8","1","근린생활시설","","","","","","","","","","","","","","","","","","","","","","일반상업지역",
"817","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000001","20060109","","03","폐업","03","폐업","20071130","","","","","","607833","부산광역시 동래구 온천동 182-9번지","부산광역시 동래구 온천장로 71  (온천동)","","럭키오락실","20071130113234","I","2018-08-31 23:59:59.0","","389473.31994482","192933.538207371","게임제공업","유통관련업","7","유흥업소밀집지역","","266.71","6","1","근린생활시설","","","","","","","","","","","","","","","","","","","","","","상업지역",
"818","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000002","20060208","","03","폐업","03","폐업","20080625","","","","","","607839","부산광역시 동래구 온천동 1267-6번지","부산광역시 동래구 석사북로 107  (온천동)","","파라오게임랜드","20080625180819","I","2018-08-31 23:59:59.0","","388223.12084649","191587.022864901","게임제공업","유통관련업","7","유흥업소밀집지역","","156.76","6","1","근린생활시설","","","","","","","","","","","","","","","","","","","","","","일반상업지역",
"819","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000003","20060208","","03","폐업","03","폐업","20060529","","","","","","607020","부산광역시 동래구 복천동 326-3번지","부산광역시 동래구 충렬대로237번길 74  (복천동)","","바다이야기동래점","20070129110341","I","2018-08-31 23:59:59.0","","389769.36435222","191482.224230282","게임제공업","유통관련업","5","기타","","265.94","4","1","근린생활시설","","","","","","","","","","","","","","","","","","","","","","일반상업지역",
"820","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000004","20060313","","03","폐업","03","폐업","20070808","","","","504-1070","","607842","부산광역시 동래구 온천동 1413-6번지","부산광역시 동래구 아시아드대로228번길 14  (온천동)","","골드게임랜드","20070816103916","I","2018-08-31 23:59:59.0","","388235.811951803","191334.579366972","게임제공업","유통관련업","10","유흥업소밀집지역","","274.86","8","2","근린생활시설","","","","","","","","","","","","","","","","","","","","","","상업지역",
"821","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000005","20060320","","03","폐업","03","폐업","20080415","","","","","","607831","부산광역시 동래구 온천동 138-3번지","부산광역시 동래구 금강공원로20번길 56  (온천동)","","롯데게임랜드","20080415163927","I","2018-08-31 23:59:59.0","","389601.164232606","193328.616108611","게임제공업","유통관련업","6","유흥업소밀집지역","","176","6","","근린생활시설","","","","","","","","","","","","","","","","","","","","","","일반상업지역",
"822","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000008","20060418","","03","폐업","03","폐업","20071120","","","","531-7005","","607828","부산광역시 동래구 안락동 590-10번지","부산광역시 동래구 명안로9번길 3  (안락동)","","아마존게임랜드","20071120114126","I","2018-08-31 23:59:59.0","","391563.049460836","190705.072682538","게임제공업","유통관련업","6","주택가주변","","123.6","5","1","근린생활시설","","","","","","","","","","","","","","","","","","","","","","일반주거지역",
"823","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000009","20060508","","03","폐업","03","폐업","20071128","","","","","","607827","부산광역시 동래구 안락동 425-23번지","부산광역시 동래구 반송로 208  (안락동)","","로타리게임랜드","20071127165353","I","2018-08-31 23:59:59.0","","390962.397536734","190922.383813107","게임제공업","유통관련업","5","주택가주변","","308.01","4","1","기타","","","","","","","","","","","","","","","","","","","","","","준주거지역",
